,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFNG,179.5846474154943,12.303967622575488,2.3484613727149997,5.239161165487329,1.6130812200065896e-07,6.202859993676502e-05
GNLY,872.8409844248708,11.941645810240308,2.717449587770468,4.394431405087383,1.1106306524427968e-05,0.0019130713107851198
GZMA,266.83730476251066,11.6458707642225,1.9457376302038112,5.985324322993447,2.1595910351300995e-09,1.7004208459941047e-06
XCL1,106.88246989677482,11.361650005391454,2.763558829708322,4.11123869817912,3.935420849750839e-05,0.005333785553330338
KLRB1,283.35707612896965,11.331459534652508,1.756948204814758,6.449512571628273,1.1221045265203885e-10,1.6867271223649658e-07
CTSW,147.99262499783893,10.794740722424523,2.075558698960196,5.200884334339675,1.9834251373660237e-07,7.287985476966045e-05
GZMH,84.46517530246462,10.772252124546075,1.8086987176193516,5.95580237858782,2.5879891000280422e-09,1.9405171734658713e-06
TRBC1,127.53840685720475,10.663219232972706,2.3864100315569785,4.468309758996296,7.884008442856927e-06,0.0014984147080763135
CD3D,82.9234206825702,9.939381897775043,2.3553391348660226,4.219936632751792,2.4437099657028178e-05,0.0035601764740167733
KLRF1,50.86551183565561,9.414671221696755,1.656431113401765,5.6837082722758785,1.3180503511214729e-08,7.077521523285912e-06
TRGC2,39.47843317197583,9.370446496260202,2.290097573046902,4.091723691839523,4.281786459209112e-05,0.0055747511104742254
TRBC2,79.41027671139007,9.361838633966073,2.219003322093544,4.218938539097607,2.4545516663919696e-05,0.0035601764740167733
CCL5,811.006145298519,9.332060057245295,2.0847456183730437,4.476354321122463,7.592843519178323e-06,0.0014598565998792275
CD3E,31.968333422284253,9.262918830088621,2.4286073318888777,3.8140866612982993,0.0001366875006145519,0.012769083743850936
KLRC1,22.80537021094783,9.158246079942659,2.028924763376042,4.513842132176325,6.366361388602011e-06,0.0012569941784350011
LINC01871,34.47413965389454,8.698646436638473,2.2255522871944025,3.9085338442460253,9.285794048231408e-05,0.009419668993098549
CD247,32.398467101814234,8.697747394214604,2.536985580200815,3.428378727137319,0.00060719774961596,0.03650914469054508
GZMM,19.087511118681896,8.650268953163936,1.9729935934567004,4.384337071266712,1.1633951689041618e-05,0.00196293256304391
CD3G,13.858666600561296,8.583697958538417,2.388223840482316,3.594176480879986,0.00032541921535740213,0.023412625672723723
LCK,30.753201593257508,8.535239681247095,1.8227068672452724,4.68272756010775,2.830826473890864e-06,0.0006883487609674328
CXCR6,16.787310269691634,8.412996845456094,2.1033017887233965,3.999900009861343,6.336925242472347e-05,0.0075928303539333514
NCR3,15.638106944044015,8.404855569168596,2.347353725614175,3.5805662680725727,0.0003428503733987474,0.02422662788097559
SH2D2A,10.457467967171615,8.323068967497036,2.3441995494396686,3.5504950802872095,0.0003845073222597895,0.026826280901120755
CD96,20.624391654584606,8.247056022365513,1.674839342258521,4.924087829967236,8.475476580382773e-07,0.0002502535808154092
TRGC1,10.48836101899165,8.136036681965225,2.202172171302106,3.6945506750067265,0.00022027596191184984,0.01794218241483959
APOBEC3G,24.155071984399143,8.081794246015683,0.8682499689963614,9.308142279990744,1.3008765428537355e-20,1.0754996818043259e-16
S1PR5,9.544753393817945,8.04249201389172,2.0874033477301275,3.852869174822989,0.00011674177225771372,0.0112433739592515
ICOS,12.390588567265805,8.034713757084784,2.3125181808475976,3.474443497840892,0.0005119141626029996,0.03248005521806931
CD8B,15.620670134456901,8.00567302491714,1.7036132785629767,4.699231407535192,2.6114242129631407e-06,0.0006444761098708289
