,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTH,2360.162294951028,16.504078781971273,2.884225899669285,5.7221865956698075,1.051617153762321e-08,2.9745281517921354e-07
CHGA,676.4837430041866,12.950790830297946,2.101931012674207,6.161377681858905,7.21147637442546e-10,2.71416423055417e-08
PVALB,288.4876644243966,11.075952132228762,1.592830367331951,6.953629438131184,3.560059988844155e-12,2.3281782380944647e-10
BEX1,69.01690336717347,10.066857059809594,1.628408930203572,6.182020297905827,6.328638592360507e-10,2.441689391638336e-08
EPCAM,32.39579094610183,9.983317955442383,2.396177009547931,4.166352450450169,3.095120612575677e-05,0.0002877026932314548
PAX1,23.598415592284503,9.847591417806433,3.7074469591490264,2.6561651525465813,0.007903489749368133,0.02794730668656256
SPINT1-AS1,24.66611284131602,9.702777563608073,1.967003164577807,4.932771709948243,8.107088883937851e-07,1.252185370164002e-05
KCNJ16,24.481634018720136,9.659937483854474,3.71063039247546,2.6033143865374515,0.009232724627284148,0.03171943136668671
GPR160,60.793731697805036,9.564951713919728,1.7994966867229887,5.315348332948689,1.0645348597285758e-07,2.2158184969655077e-06
BSPRY,24.09947143834041,9.30423897853609,2.263878098564616,4.109867481131306,3.958862414261957e-05,0.00035510379690573444
PCSK1N,56.32916464791058,9.28368711410007,2.281818070338789,4.068548336424424,4.730694812966757e-05,0.00041113795353785545
FBP2,6.318334943420742,9.228865156580412,3.090755024892757,2.9859581501127335,0.0028269132739999706,0.012226532504481111
CASR,35.53241080859883,9.080066990075835,1.5997432026135534,5.675952849958311,1.3791876650914721e-08,3.7514718170526447e-07
CDSN,13.590713690731183,9.019556944551583,3.706475011178648,2.433459531589663,0.014955307087568832,0.04660455784199804
GATA3,39.26137874246389,8.979130709811557,2.9654571571061212,3.0279077505115453,0.002462532476279669,0.010967244422141894
DMKN,18.750670434051848,8.491438574826743,1.7323360753826231,4.901727035241259,9.499777600679274e-07,1.4360237582928457e-05
AL357497.1,20.947973868818337,8.212124774755539,1.3217325901893595,6.213151461733284,5.193234707429425e-10,2.0464451810772107e-08
GCM2,19.88965781735471,8.159780679990257,1.4747200753092704,5.533104767885548,3.146114194603878e-08,7.69504482452052e-07
DNAH11,17.668590788744957,8.054015055538251,1.6410616303235945,4.907807791441758,9.210004792985463e-07,1.3991013870859794e-05
GCNT1,8.698009818802847,7.833329388716228,1.9278503191504262,4.0632456321444375,4.839505558938307e-05,0.00041845206995412375
DSG2,7.529317173110767,7.761614250368777,1.9425616723374535,3.9955561570559306,6.454255500196537e-05,0.0005390823366604372
SPOCK3,18.35377996513568,7.6617017899484265,2.2534153766067213,3.4000397216982288,0.0006737606462878859,0.0038878266078977443
BEX2,41.51808748379514,7.605495429349949,1.7821547068281685,4.267584290078838,1.9760111781516823e-05,0.00019342674175941253
ANK3,7.496549584580153,7.573211009173547,1.1380246110701657,6.654698796058476,2.8388081275774887e-11,1.5218982409530247e-09
C19orf81,5.250374909811926,7.515762681718471,2.9442554283984173,2.5526870424441435,0.010689549701699412,0.035674389359164047
KANSL1L,12.24087443932448,7.438280513672766,1.451571076232948,5.124296450557734,2.9865078401016866e-07,5.186174914044755e-06
ATP1B1,73.99009603276022,7.4311905908040785,1.4748228891910953,5.038700338370736,4.687036478535258e-07,7.745369779314268e-06
LYPD6B,7.65408229924112,7.352140143501237,2.9011916852622757,2.534179379063188,0.011271101830645664,0.03710490181377496
INPP5J,4.676318800220334,7.313920060112152,1.9249774572715017,3.7994834861489943,0.0001449979732649639,0.0010673942466302374
MYBPC2,10.98660526733975,7.287611629064742,1.4042284794363908,5.189762019347264,2.1056301735082322e-07,3.890985136256394e-06
WFDC2,11.377334481623548,7.2088015752313845,1.6364447596146905,4.405160353184629,1.057056549887335e-05,0.00011229355548930853
ESRRG,4.2427490747066186,7.193799959237507,2.2403130776510096,3.211069038074034,0.001322421602427022,0.00671848462588406
MAPK13,4.646766478967221,7.107171031210501,2.097570453490519,3.3882871583090903,0.000703305900228432,0.004019474807603539
PRLR,7.778518346954809,7.008875700944354,1.7883620949050565,3.919159168555545,8.885842078399873e-05,0.0007124899983036976
ZG16B,9.997347067211454,6.95475912872894,1.0734453445210144,6.478913122337165,9.238567615791222e-11,4.436918332563066e-09
ADGRG2,3.6787041775627776,6.897755472017365,2.2891152070998833,3.01328454357535,0.002584364781266239,0.011383024650059982
TMEM30B,3.6120830012783087,6.858004279422963,2.2915974293373713,2.9926741021899277,0.0027654488218910025,0.012017061068170092
RNF217,14.643983869319083,6.855728052677868,0.7386470802320587,9.281466394646849,1.6716188428649316e-20,4.972257209695978e-18
CLDN7,10.727434185400643,6.764256588889554,0.8252048635816941,8.197063404995191,2.463305329900102e-16,4.285686499435631e-14
C1orf112,7.951715094339754,6.727310065021586,1.4000045915917199,4.805205715342008,1.545924706486683e-06,2.13397780217271e-05
CISD1,98.44062764999316,6.7056569809553705,1.5435801940272393,4.344223258954978,1.397693154345945e-05,0.00014304249252190853
CDH1,6.028090820919749,6.6424894650434405,1.6527389254068388,4.019079700327336,5.842590622119299e-05,0.0004936260055313767
SLC7A8,10.201898470853424,6.641102907447846,1.1778882501709937,5.638143437192585,1.7189330428022793e-08,4.5201305812730377e-07
SPINT1,4.588440494612704,6.550598267801302,2.0604970039715975,3.179135060703829,0.001477152454590436,0.007362606910150493
STXBP5,3.5282854305767124,6.4748887243299125,1.9285393726343285,3.3574055143532813,0.0007867762885187767,0.004402223395892985
GSTO2,2.9943856341428154,6.451952751776907,1.616918967250915,3.990275878046328,6.599648620706713e-05,0.0005492361004651318
TMEM37,5.142441755447521,6.4086730371715666,1.477206096418066,4.338374349192938,1.435405110233758e-05,0.00014625271294436997
RGS9,3.174250368983956,6.375971923958584,1.9704963762837564,3.2357186751001814,0.0012133690566468241,0.006261038652121077
APOO,3.457711608591557,6.278073222096789,1.6953250134702913,3.703167930759021,0.000212923834113305,0.001486795822902712
NKIRAS1,3.6493496973097614,6.244204067346779,0.969870702030783,6.438181970310298,1.2091298940413427e-10,5.6310034105834454e-09
MORN2,9.704177743454922,6.201272767881585,1.6635609671383778,3.7277099489469765,0.00019322757629298078,0.0013748082415104752
KL,5.275080723058887,6.192312662548704,1.7142890613116466,3.612175333960777,0.0003036391439773373,0.0020113911972809103
HDHD3,9.104890772452405,6.173734731519058,0.941964362227248,6.554106481185167,5.597601639099183e-11,2.805189386637694e-09
NME5,4.236431771975445,6.129581750641787,1.6386090961745425,3.7407223998400605,0.00018349209876760425,0.001313649567341676
KIF13B,8.027074961358128,6.118305016992221,0.8753657920464292,6.9894266746349025,2.760118224764743e-12,1.8852629741152367e-10
AC008443.5,2.135099602900605,6.09388676071618,2.2933963149058645,2.657145091369135,0.0078805518436194,0.027895035911713814
SLC17A5,16.005465784465162,6.092575121503201,1.2159681376390226,5.0104726702237565,5.429650919027758e-07,8.830125418757487e-06
DSP,3.1962860080933075,6.061522394860282,2.1225236037977853,2.855809181115599,0.0042927304349475335,0.01710599280062714
ENPP1,5.476090824679428,6.022024761953237,2.50406881366998,2.4048958754960563,0.016177074313098595,0.049426375825408264
LINC00836,4.3653053845652625,5.994563942339291,1.6005302267139414,3.745361282333773,0.0001801343592829647,0.0012926217330336321
PBX3,6.581650441898352,5.985081015573567,1.2216162880492558,4.899313372066178,9.617215107463056e-07,1.4513967349577224e-05
SLC16A11,3.1117986763088106,5.952209519140125,2.24510759369726,2.651191210545942,0.008020841858348648,0.02831553705047201
DLG5,2.3290236214153572,5.92274603855183,1.7592419289953662,3.366646702158854,0.0007608809948780006,0.004286760324921953
KLHDC9,4.333753452173224,5.915876892192724,1.026673091618586,5.762181691999094,8.303354020280841e-09,2.4077115541198e-07
