,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCDC80,51.67624699960188,8.102399286134217,1.3681863786305606,5.921999672474474,3.1805025779606133e-09,1.8362101550092606e-06
MYL9,796.9528703454814,8.08332270289064,1.819195177571321,4.443350995291288,8.856850127323316e-06,0.0012087520448899574
OSR2,18.47515727072716,8.031267417908087,2.0205625517396104,3.974768022397297,7.044788775013859e-05,0.005817967821439094
GPC3,16.27336247194077,7.936300515916657,2.0180800408010664,3.93259947844605,8.403218625382661e-05,0.006327988982244682
COL1A1,53.5718509368766,7.7262910078100715,1.9604177165973458,3.941145268377,8.109349374097091e-05,0.00628818047779536
COL6A3,35.15273100880798,7.505382665849799,1.9233538053507044,3.9022371468889823,9.530771210059556e-05,0.006925455958248194
TSPAN8,9.790317128716648,7.382389140605655,2.1492450685994844,3.434875458579626,0.0005928262102104854,0.024433760262312972
MGST1,37.41948534189677,7.367154431466042,1.8251120923335857,4.036549022063849,5.4243195536104515e-05,0.005124258582979045
HSPB6,9.652341313506563,7.3368078568021176,1.8809557766384906,3.9005743505112784,9.596474768935142e-05,0.006925455958248194
FXYD1,20.75676289108366,7.282198117842306,1.605957876796151,4.534488869888744,5.77431466775259e-06,0.0008824511474600724
COL6A1,67.49341920287104,7.272220717889477,1.3712727293346394,5.303263575742558,1.1375049621641724e-07,3.4767504608264944e-05
OMD,9.329938699916664,7.221867969762375,2.0476309492677247,3.526938275837775,0.0004203947552012097,0.019503313821656123
AEBP1,26.555460428994035,7.077759268921217,1.8070949744080802,3.916650408061458,8.97878055334718e-05,0.006664820536455992
SERPING1,119.74947795351213,7.026733749933521,1.5832496054146743,4.43817179925532,9.072619274578202e-06,0.0012087520448899574
NEXN,6.845740588613049,6.962548695067256,1.4304614578774113,4.867344489937273,1.1310777030174645e-06,0.0002350831897951498
THBS2,8.291645972653852,6.9356217503578,1.7271072844953739,4.015744599435378,5.925840267502085e-05,0.005381815375659282
C7,36.803737764336596,6.924089220018316,1.908110616243989,3.628767200954002,0.00028477789802848263,0.014650554041148473
CRISPLD2,23.92218925639823,6.820852877852507,1.9577482101770658,3.484029683896687,0.0004939247044400695,0.021386939702255008
FHL2,26.595962638980343,6.772710038314973,1.8004802438878025,3.7616130814579587,0.0001688210644598123,0.010697490865038838
FGF7,27.901005675707125,6.745135288514238,0.8316472544770132,8.11057242382885,5.038184788058312e-16,2.617840815875099e-12
SDC2,43.95441165056543,6.495271969262689,1.336943606082852,4.8582991382062595,1.1839843729701685e-06,0.0002366147231520383
RERG,6.254641128885085,6.42020281166838,1.6298978183682111,3.93902166093825,8.181454436241979e-05,0.00628818047779536
FOXS1,4.448848928948959,6.354731819458168,2.0286652689947196,3.132469371158101,0.0017334251267835544,0.04843475198579779
MMP23B,4.066273887732944,6.309802640208572,1.5158739012612927,4.1624851743660605,3.148025867909861e-05,0.003338192328501967
SFRP1,3.6496019857812514,6.303774776449113,1.8482076431305177,3.4107503017202654,0.0006478439080638598,0.02569615989541844
SGCA,3.495744556244471,6.279812775259002,1.7020704640360804,3.689513981911082,0.000224682880248125,0.013320838937273573
KCNAB1,4.449235385760498,6.161920184031255,1.8736826645152473,3.2886679802982783,0.0010066269510007344,0.03418584076731906
MAP3K7CL,19.4135204314454,6.1412084365490545,1.21223145228207,5.066036213619111,4.06184676446598e-07,0.00010003980966099089
ECM2,4.0091121744981635,6.108351004303308,1.9576807405977679,3.1201977307281235,0.0018072967812052844,0.04892726975234451
LRP1,8.954265622731647,6.041307889797532,1.0970545250741184,5.506843781888938,3.6532416986343986e-08,1.3558745618645954e-05
CERCAM,3.09366358937091,5.958791127797,0.9089072408512495,6.555994781399489,5.5272163990305226e-11,5.743883281872519e-08
CPE,89.85566602473013,5.9179513215760355,1.647091100182809,3.59297146400658,0.0003269284026198159,0.016025660188797766
PDGFRA,6.114225501583387,5.9175495799078766,1.7018533120373003,3.4771208176713757,0.0005068293780337063,0.02176434254762924
GPX8,2.9839590275740084,5.716237008685099,1.7552761816062863,3.2566026182011214,0.0011275416520526642,0.03718341587845971
PDLIM3,10.767053305337521,5.620096736210839,1.6049509710564862,3.5017248735712565,0.00046225669404945726,0.020705911916215344
CHRDL1,2.5599255397734573,5.611836450766077,1.7935125466529562,3.1289641442647596,0.0017542371316281809,0.048484128382659725
ANGPTL4,30.934899246379064,5.589417124807996,1.563138868341189,3.5757649163567367,0.00034920535015384554,0.016800657401846126
CRYAB,247.3055372075882,5.54660138427403,1.591422229109854,3.485310989640044,0.0004915653673617216,0.021386939702255008
ANTXR1,5.613564451237094,5.43168740705901,0.7600664855696703,7.146331946195414,8.912738421091871e-13,1.543686294533112e-09
SGCE,10.39451647807078,5.42604344480841,1.0126257497525075,5.358389756664367,8.396694720358776e-08,2.7268266104365126e-05
SEPT4,32.90527105906283,5.413736659176536,1.6034303117503959,3.3763467108630323,0.0007345529074952535,0.02790910799238399
C1QTNF1,9.124066915730442,5.401130845948911,1.1195192006248629,4.824509345560357,1.4034833694749857e-06,0.0002604464138497152
TBX2-AS1,6.1015216777923,5.378420961161323,1.5707336812681256,3.4241456876502943,0.0006167354831036215,0.02503560601723764
EGFLAM,3.792536953274569,5.264531668637085,1.6187911440655172,3.2521376756580618,0.001145405262583512,0.03719703590239955
LOXL1,4.796453973876936,5.097998865367018,1.2826919386530296,3.974453032518851,7.054118028303752e-05,0.005817967821439094
PPP1R12B,5.016843185843737,5.049933323621574,0.6679565809712676,7.560271831259642,4.022278748297232e-14,1.044988018807621e-10
GAS1,5.00492572483204,5.004804356671754,1.417142879328568,3.5316159222018557,0.0004130287831826506,0.019503313821656123
TPM1,180.0247746356857,4.975974449404429,1.595058582507209,3.1196186171312235,0.001810853341668622,0.04892726975234451
RASD1,58.5450256872176,4.938602344637172,1.1848938984046335,4.167970103725414,3.073242300159053e-05,0.003326784789922175
LGALS3BP,53.58271543433623,4.8918482875768365,1.279759374705555,3.8224750560646186,0.0001321188469618889,0.00880114780530737
F3,13.154112495871434,4.881461304761285,1.228130862785758,3.9747077878074917,7.046571877643371e-05,0.005817967821439094
KLHL23,3.9187157437894924,4.77855401002127,0.733676695679736,6.513160412699274,7.358585183093801e-11,6.372534768559232e-08
TPPP3,48.71100293636796,4.748145364422186,1.4338757775558788,3.3114063566340906,0.0009282830278374892,0.03235170590301168
EFEMP2,10.523248222633523,4.702188847959285,1.071158082591841,4.389817828365329,1.1344565811063538e-05,0.0014736590988571536
NDN,6.9873318669117195,4.679864325681929,1.2739940168189832,3.6733801445685064,0.00023936297671625466,0.013355576163601513
NTN4,5.299737037296092,4.6755031455602705,1.482886320680627,3.1529747630379856,0.001616157784011961,0.04744381833743588
MT1E,191.19282762852973,4.583271899792067,1.1950106628378194,3.8353397524571586,0.00012539083960930945,0.0084614389949347
PLAGL1,3.6965226097803865,4.547997414292537,0.7675475678161044,5.925362290226402,3.116096234819425e-09,1.8362101550092606e-06
STXBP6,2.3480019951918623,4.544290863855513,1.2879143260474046,3.5284108359924016,0.0004180627615130005,0.019503313821656123
LMOD1,2.710670525723072,4.467460372771219,1.0251698292553262,4.357775897498214,1.3139081600173161e-05,0.0016254920951071367
COL5A1,2.6905162267024707,4.285479715568229,0.7940014152087084,5.397319996516333,6.764368167530773e-08,2.3431771332326596e-05
GPX3,192.05326585645915,4.258416306596484,1.274840216429562,3.340352972643903,0.000836719713336602,0.030220736775453484
UGDH,10.712516000666882,4.238331430331492,0.9316240974472488,4.549400817287767,5.379888362964223e-06,0.0008735593729363158
GLT8D2,3.4404865649350875,3.89646065671897,1.1310278456061618,3.445061650653442,0.0005709291581673887,0.024118275657217494
PALLD,21.520869196311516,3.684248211095737,1.1591426220148173,3.1784252784112024,0.001480773799389113,0.04529119239794316
FILIP1L,21.517400381862995,3.6701084881846864,1.088377285863132,3.372092137400797,0.0007459948744894577,0.0280883287525161
PTK2,15.687057890452996,3.6552867184954807,1.1726788512948436,3.1170398566149644,0.0018267687320929246,0.04892726975234451
HCFC1R1,38.16677438770506,3.653331746731561,1.046786997544124,3.490043108390412,0.0004829426369767515,0.021386939702255008
INAFM1,4.265369891860172,3.5958263951150577,0.6418292153333691,5.602466059833952,2.113234248268773e-08,8.44643473384965e-06
GPRC5C,7.4270670622025845,3.5311225514845037,1.0126938006887065,3.486861032508622,0.0004887252374569849,0.021386939702255008
C1orf198,3.118802128801403,3.5256502729350183,0.8260395923363584,4.268137151832057,1.971121289845587e-05,0.002327715050463107
ADD3,14.664081050150259,3.5084698247047483,0.8836945415529974,3.970229145626489,7.180354133447936e-05,0.005829550012093044
DBN1,3.9118114039697582,3.481414704859271,0.9468874284476282,3.6766933431219653,0.0002362767902814908,0.013355576163601513
CSRP1,46.04303779976408,3.4667272073091633,1.0474426992294816,3.309705829120154,0.0009339407015880969,0.03235170590301168
SEPT11,7.157296131968344,3.411431207357325,0.6616195351537859,5.156182709394118,2.520349818868011e-07,6.892493504651677e-05
PHLDA2,56.013125088787476,3.356889243327407,1.0722041802735898,3.1308302141396647,0.0017431290649238232,0.04843475198579779
MAP7D3,5.4576436116139515,3.3493921966344886,0.95237045595067,3.5169005671129066,0.0004366173087573774,0.02006229484161848
PDLIM7,19.502070731502414,3.2920273802683506,0.9087595738364295,3.6225504248287494,0.00029171257196321335,0.014715907999231618
TPST1,3.563177525925339,3.2078592874118903,0.7358269660397748,4.359529394086505,1.3034244584479525e-05,0.0016254920951071367
PDLIM2,21.853874875178484,3.1813684251976975,0.800329341591964,3.9750740849629764,7.035735109148674e-05,0.005817967821439094
UAP1,51.05851762593282,3.002029467932155,0.9627835281348278,3.118073149576934,0.0018203761658404205,0.04892726975234451
LBH,45.88115224935389,2.999372206610332,0.9446219674273647,3.1752090360326757,0.0014972859735183656,0.04549647905497911
NBL1,19.74204206889996,2.9859859102644157,0.910118691725312,3.280875271997636,0.001034854963669842,0.034691008975667736
