,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLVAP,434.91329552685175,12.6706008314609,2.8668719399498435,4.41966055577724,9.885605381313463e-06,0.0007007096832554642
SLC9A3R2,293.9252298165802,10.623524302879174,2.5516734913607353,4.163355671815969,3.136042844237533e-05,0.0017219525391915526
VWF,181.66810600311095,10.59820456952895,1.8186813401343918,5.827411507254918,5.629368271476917e-09,1.1550574845448822e-06
RAMP3,199.35487666595168,10.34344305936998,2.2000112570042796,4.70154097004689,2.5820544154960455e-06,0.00022369198086247407
PCAT19,89.69131443651824,10.318948042161558,1.8822637635848083,5.482200869929579,4.200668833905043e-08,6.968641467650557e-06
STC1,80.98917717481253,10.057976211363712,2.3737775468749556,4.237118269403506,2.2640689125470402e-05,0.0012980106846418584
ADGRL4,53.70084211772071,9.826869481849284,2.4205523297654095,4.05976328667171,4.9122490009865646e-05,0.0024710197071414353
ECSCR,62.50348571191354,9.68590549571144,2.1965049600426565,4.409689789875703,1.035187999197297e-05,0.0007206572169411898
SLCO2A1,58.72576090977018,9.650396864126629,2.2039333985993106,4.378715287068044,1.1938097256211825e-05,0.0007955670453562701
SELE,76.0863419071195,9.418754878182538,2.9187044203162036,3.2270327932563103,0.0012508112401423935,0.029643085834012893
EMCN,102.83990144722875,9.35472159169259,2.0908402587961032,4.474144570508222,7.671782403783526e-06,0.000580746479633982
CCL14,26.48072803107513,9.196277551845968,2.6817923795662657,3.4291534355591353,0.0006054671339444453,0.017229296508630802
TMEM88,73.94510935774719,9.129146471125175,1.471382778311682,6.204467393318473,5.48824505684143e-10,1.3803821518771814e-07
CLEC14A,59.131560984482974,9.019954161179944,2.5146064132988033,3.5870242410409894,0.00033447323999205635,0.010821111419991964
RND1,92.01272017141511,8.970996928145137,1.6099054201767213,5.572375131925687,2.512895953260361e-08,4.556523197109543e-06
PTPRB,30.26082063602697,8.843773682215282,1.8434733524339668,4.797342836845843,1.6078427378150676e-06,0.0001457715096133033
TM4SF18,44.27095983824171,8.757726893419225,1.8953246712279366,4.620700097648863,3.824472809975164e-06,0.00032063886558469196
CA4,206.10243616988924,8.665585721135745,2.3750359458373738,3.6486124499814645,0.0002636604930217182,0.009302085357874829
TMEM233,16.666502175987265,8.591067546240739,2.3768102534338027,3.6145365553809494,0.00030088536216417265,0.010155857873567334
TSPAN7,25.65390052047319,8.56466930258514,0.8897553843870972,9.625869596152949,6.217874059922393e-22,2.4240382022607447e-18
KDR,36.194096291333516,8.557251930941053,2.040288613997462,4.194137962753783,2.739112421904319e-05,0.0015364647160854659
FAM167B,26.388038026274113,8.490921937779822,1.9039902615264677,4.459540633875132,8.21355011278718e-06,0.0006041608512207703
MMRN2,19.500671291359122,8.478169627795289,1.9056788657824546,4.4488973352360865,8.631225775715361e-06,0.0006289501623668474
JAM2,19.761764744049334,8.46700187472219,1.246660715058692,6.791745157641844,1.1078512289000877e-11,3.926325468969992e-09
MYCT1,21.741584677872595,8.327474053517678,2.455614118540803,3.391198149025998,0.0006958777009065535,0.018768486989636107
ESM1,27.320035993440364,8.250936043664435,2.388007775031196,3.4551545978767373,0.0005499773687813122,0.015812493415019245
PODXL,29.41963345336098,8.248180403913103,1.4892248363886287,5.5385729557901735,3.0494621213817305e-08,5.403785491003035e-06
FAM107A,17.748277395435725,8.191941355970627,1.778966347674738,4.60488831993826,4.12687270967831e-06,0.0003423109203974658
LDB2,33.316579306982064,8.116499940382107,1.6482744372375817,4.924240622201798,8.468857665551629e-07,8.253960402288256e-05
CAVIN2,71.01363054991369,8.008053033455374,1.8358286790694098,4.362091694479189,1.2882485350469174e-05,0.0008440734309042701
CDH5,18.307684420353432,7.960867690541964,2.100477161060251,3.7900282079351837,0.00015063017816683424,0.006034364185704332
CYYR1,19.198781724638696,7.87159164340349,2.6097028211145634,3.0162789340288394,0.0025589773766060324,0.049880866513493084
CXorf36,10.71882625055528,7.799414171455062,2.441314291593133,3.194760378994621,0.0013994698187988295,0.03162801790485355
PECAM1,90.81910649547608,7.789331709648206,1.7875967092381844,4.357432338845469,1.3159716112649821e-05,0.0008550525544194222
PLPP1,175.575385439102,7.730227889488049,1.485564707596177,5.203561884555328,1.9550460724788147e-07,2.345152958018049e-05
RAMP2,148.5748704188824,7.668225363772341,2.250567925523491,3.407240135615406,0.0006562336397381605,0.017890397514120412
NOTCH4,20.46188115690918,7.638220994381441,1.816943681407988,4.203884287961211,2.6237310365877245e-05,0.0014932285322828093
LCN6,10.585115141921623,7.595298578773159,2.338080098223139,3.2485194089566587,0.0011600729424799735,0.02774567095863912
CX3CL1,12.483431679510918,7.5704158284107885,1.9134470501356866,3.9564281791199574,7.607874708499964e-05,0.0035520119222858817
SOX18,9.245681577376024,7.560967864610142,2.3696466674464367,3.1907574949804407,0.0014190033073524792,0.03197678840296902
EGFL7,80.55479223700146,7.524029136510416,1.1032071630449825,6.820141663822418,9.09507780866518e-12,3.502706697340249e-09
CSF3,11.718627488782564,7.499660844475352,2.2456980505885866,3.3395677760461733,0.0008390887310126185,0.02145040929739471
ROBO4,9.002632387973653,7.433678887108195,2.147197102296087,3.462038431012716,0.0005361005978822998,0.01548139393217886
NOSTRIN,12.95057068789367,7.375141655897806,1.8984361337507145,3.8848510754622216,0.00010239263347683229,0.004460085828038331
SEMA3G,8.197797672714767,7.314085143861834,2.2881867831987104,3.1964545890949085,0.0013912772455156749,0.03162620607371929
PCDH17,18.249738429702198,7.267463586067459,1.8457561647378664,3.9373909321871783,8.237235157043034e-05,0.003777983677615561
ADAMTS9,12.657175263382126,7.147343843476558,1.201567026017628,5.948352184035134,2.7085532852620324e-09,5.866274990330018e-07
HYAL2,50.85485334029035,7.1285212179691,0.7202600108073463,9.897149794528607,4.2830755336025206e-23,3.339513993549885e-19
RBP7,49.327296110271774,6.8809087249676475,0.9680674784404932,7.107881297750479,1.178378363499165e-12,7.067550846309992e-10
BTNL9,10.018387186105478,6.878006538350422,2.2718482229157475,3.027493856752021,0.002465907262394316,0.04861121323548967
TMEM255B,8.116371395325313,6.710118017059056,2.19162354396164,3.061711047751229,0.0022007578663956625,0.04456963398516099
LMO2,7.343891266001878,6.70842710723417,2.171083849535822,3.089897752529656,0.0020022541094315434,0.04185408925264811
EFNB2,11.793443839556062,6.627882263734302,1.3076842853762942,5.06841164786735,4.011491096704134e-07,4.1703461441336175e-05
